CycleCount,Axial_Displacement,Axial_Force,Running_Time,Rollover_Running,Time,Ch_1_Integer_Count
CycleCount,mm,kN,sec,sec,cycles,
3,-0.0997953757178038,-9.411833984375,28.4386386871338,28.4386405944824,2.5,
3,-0.082864222349599,-7.7178623046875,28.8387050628662,28.8387050628662,2.5,
3,-0.0601198116783053,-5.5107431640625,29.23876953125,29.23876953125,2.5,
3,-0.0345834123436362,-2.97524926757813,29.6388339996338,29.6388359069824,2.5,
3,-0.00585001498620841,-0.293030822753906,30.0389003753662,30.0389003753662,2.5,
4,0.0216164044104517,2.44480029296875,30.43896484375,30.43896484375,3,
4,0.0510535901412368,4.93758642578125,30.8390293121338,30.8390312194824,3,
4,0.0778240791987628,7.32622021484375,31.2390956878662,31.2390956878662,3,
4,0.0970453838817775,9.10366015625,31.63916015625,31.63916015625,3,
4,0.113971211249009,10.3328681640625,32.0392265319824,32.0392265319824,3,
4,0.121041259262711,10.9247529296875,32.4392890930176,32.4392929077148,3,
4,0.120167853310704,10.8120908203125,32.83935546875,32.83935546875,3,
4,0.112470297608525,10.0272890625,33.2394218444824,33.2394218444824,3,
4,0.0992530258372426,8.6174814453125,33.6394844055176,33.6394882202148,3,
4,0.0792546779848635,6.6451103515625,34.03955078125,34.03955078125,3,
4,0.0543667410966009,4.26959423828125,34.4396171569824,34.4396171569824,3,
4,0.0239841465372592,1.65067053222656,34.8396797180176,34.8396835327148,3,
4,-0.00458609383713338,-1.07231762695312,35.23974609375,35.23974609375,3.5,
4,-0.0331451883539557,-3.72206518554687,35.6398124694824,35.6398124694824,3.5,
4,-0.0609621347393841,-6.13232080078125,36.0398750305176,36.0398788452148,3.5,
4,-0.0858912826515734,-8.251013671875,36.43994140625,36.43994140625,3.5,
4,-0.101167257525958,-9.7962705078125,36.8400077819824,36.8400077819824,3.5,
4,-0.110093344119377,-10.7140947265625,37.2400703430176,37.2400741577148,3.5,
4,-0.11478403757792,-10.9730546875,37.64013671875,37.64013671875,3.5,
4,-0.112817433546297,-10.4949287109375,38.0402030944824,38.0402030944824,3.5,
4,-0.0971843546722084,-9.423880859375,38.4402656555176,38.4402694702148,3.5,
4,-0.0835661194287241,-7.6756826171875,38.84033203125,38.84033203125,3.5,
4,-0.0614963064435869,-5.50396337890625,39.2403984069824,39.2403984069824,3.5,
4,-0.0357642711605877,-2.9908115234375,39.6404609680176,39.6404647827148,3.5,
4,-0.00935091520659626,-0.269832672119141,40.04052734375,40.04052734375,3.5,
5,0.0226170232053846,2.43600903320313,40.4405937194824,40.4405937194824,4,
5,0.0502553884871304,4.94001025390625,40.8406562805176,40.8406600952148,4,
5,0.0760518887545913,7.3242177734375,41.24072265625,41.24072265625,4,
5,0.0993845169432461,9.1110283203125,41.6407890319824,41.6407890319824,4,
5,0.114454567665234,10.35163671875,42.0408515930176,42.0408554077148,4,
5,0.120175100164488,10.9263115234375,42.44091796875,42.44091796875,4,
5,0.120016862638295,10.7821416015625,42.8409843444824,42.8409843444824,4,
5,0.113935820991173,10.02651171875,43.2410469055176,43.2410507202148,4,
5,0.0970913388300687,8.605552734375,43.64111328125,43.64111328125,4,
5,0.0782031565904617,6.6319130859375,44.0411796569824,44.0411796569824,4,
5,0.0533894635736942,4.27902783203125,44.4412422180176,44.4412460327148,4,
5,0.0240804511122406,1.63018469238281,44.84130859375,44.84130859375,4,
5,-0.00540327209819225,-1.08247155761719,45.2413749694824,45.2413749694824,4.5,
5,-0.0362140999641269,-3.72567236328125,45.6414375305176,45.6414413452148,4.5,
5,-0.0623988744337112,-6.142576171875,46.04150390625,46.04150390625,4.5,
